LIGA;TEMPORADA;JOGADOR;SIGLA_EQUIPE;QTD_JOGOS ;MINUTOS JOGADOS;CESTAS DE 3 PONTOS;QTD LANCES LIVRES;FALTAS PESSOAIS;REBORTES;ASSISTÊNCIAS;ROUBADAS DE BOLAS;BLOQUEIOS;PONTOS;ALTURA (CM);PESO (KG);NACIONALIDADE
Brazilian-NBB;2019 - 2020;Cassiano Bueno;SPFC;21;87.3;2;3;12;13;2;1;0;21;185;85;Brazil
Brazilian-NBB;2019 - 2020;Jonatan Oliveira;PAU;16;65.5;5;0;10;2;1;0;0;21;188;;Brazil
Brazilian-NBB;2019 - 2020;Gabriel Dos Santos;BRA;15;92.3;1;7;7;9;5;6;0;20;193;95;United States
Brazilian-NBB;2019 - 2020;Anderson Barbosa Miranda Santana;PAU;22;99.9;2;7;19;20;6;1;0;17;193;93;Brazil
Brazilian-NBB;2019 - 2020;Wilmar Borges;FAC;14;58.7;1;5;11;18;2;1;0;16;201;;Brazil
Brazilian-NBB;2019 - 2020;Danilo Penteado;SPFC;11;35.9;2;2;5;3;2;1;0;14;201;;Brazil
Brazilian-NBB;2019 - 2020;Emanuel Matias;BAU;13;69.2;0;2;12;9;4;2;1;14;196;;Brazil
Brazilian-NBB;2019 - 2020;Juliano Armani;CEA;24;66,0;3;4;10;13;3;1;0;13;185;77;Brazil
Brazilian-NBB;2019 - 2020;Rafael Correa;PAU;10;18.2;0;2;7;3;0;1;0;8;208;107;Brazil
Brazilian-NBB;2019 - 2020;Lele Oliveira;RIO;10;25.1;0;0;4;2;0;2;0;6;201;90;Brazil
Brazilian-NBB;2019 - 2020;Adyel Borges;FRA;11;24.1;0;2;4;4;4;2;1;6;185;;Brazil
Brazilian-NBB;2019 - 2020;Jackson Da Silva;BOT;16;28.9;0;0;8;1;1;2;0;2;193;;Brazil
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
